iter,theta,used_energy,surrogate_sigmaE,used_surrogate,measured_flag,shots_this_iter,cumulative_shots,fidelity_drop,pruned_this_iter,entangler_active
27,"[-0.0667888808027665, -0.012983534130496792, -0.07132381509001154, 0.11675470642682914]",-0.7127298850492729,0.004953234268157623,False,True,512,17920,0.032173755515996216,False,False
28,"[-0.06650733377512878, -0.012701987102859075, -0.07104226806237382, 0.11647315939919142]",-0.7030647361469938,0.003673588213663121,False,True,512,18432,0.032173755515996216,False,False
29,"[-0.06674474202308309, -0.012939395350813385, -0.07080485981441952, 0.11623575115123712]",-0.7131169260090122,0.005489563590351898,False,True,512,18944,0.032173755515996216,False,False
30,"[-0.06662669803148856, -0.013057439342407915, -0.07092290380601404, 0.11635379514283165]",-0.6950706971980928,0.003252892840229557,False,True,512,19456,0.032173755515996216,False,False
31,"[-0.06657210111151889, -0.013002842422438246, -0.07097750072598372, 0.11629919822286197]",-0.7018645378305964,0.007417745032649375,False,True,512,19968,0.032173755515996216,False,False
32,"[-0.06728022485889879, -0.013710966169818138, -0.07168562447336362, 0.11559107447548207]",-0.7095663900244601,0.007326023121963268,False,True,512,20480,0.032173755515996216,False,False
33,"[-0.06772322010807708, -0.014153961418996426, -0.0721286197225419, 0.11514807922630378]",-0.7118237780983866,0.006411211717963117,False,True,512,20992,0.032173755515996216,False,False
34,"[-0.0678452269800669, -0.014031954547006608, -0.07200661285055208, 0.1152700860982936]",-0.7141917427407775,0.011261176818574034,False,True,512,21504,0.032173755515996216,False,False
35,"[-0.06801175737394487, -0.014198484940884583, -0.07217314324443005, 0.11543661649217157]",-0.7116494497625905,0.005395867961536724,False,True,512,22016,0.032173755515996216,False,False
36,"[-0.0678677693050231, -0.014054496871962821, -0.07231713131335182, 0.1152926284232498]",-0.7105342061978831,0.004594422308511249,False,True,512,22528,0.032173755515996216,False,False
